unix,low,high,open,close,volume,date,vol_fiat
1627084800,33424.7,34525.0,33647.27,34283.01,9864.75243703,2021-07-24,338193406.44622386
1626998400,32000.0,33647.27,32287.75,33647.26,9004.84262627,2021-07-23,302988281.1051895
1626912000,31729.68,32611.84,32152.68,32287.74,7704.6404628,2021-07-22,248765428.0563661
1626825600,29501.02,32825.0,29796.15,32135.19,15598.47830878,2021-07-21,501260064.163524
1626739200,29301.56,31052.65,30842.04,29796.16,18114.15286104,2021-07-20,539732196.9120055
1626652800,30429.99,31887.82,31786.37,30842.03,11027.00528966,2021-07-19,340095227.95385236
1626566400,31125.6,32450.0,31533.9,31788.25,5006.4831051,2021-07-18,159147336.56569508
1626480000,31179.01,31949.99,31389.57,31533.91,5695.57411588,2021-07-17,179603721.5684895
1626393600,31025.42,32259.16,31872.49,31388.06,10006.47793721,2021-07-16,314083929.8818237
1626307200,31064.77,33187.6,32815.75,31868.68,11273.61174025,2021-07-15,359275124.9942704
1626220800,31600.0,33125.55,32734.14,32816.39,10355.3186961,2021-07-14,339824176.90550905
1626134400,32201.12,33337.61,33077.43,32734.14,9478.04218884,2021-07-13,310255559.935395
1626048000,32665.0,34670.0,34259.22,33091.1,10145.24046995,2021-07-12,335717166.91516244
1625961600,33333.33,34607.37,33515.35,34259.23,7023.06500489,2021-07-11,240604799.30747765
1625875200,33027.83,34267.14,33824.25,33515.35,4906.24582215,2021-07-10,164434545.915395
1625788800,32255.24,34100.0,32875.95,33824.26,8320.90649257,2021-07-09,281448504.6403758
1625702400,32111.0,33934.62,33879.5,32875.95,14147.3525248,2021-07-08,465107654.23769855
1625616000,33770.01,35077.46,34225.72,33878.56,9404.8979867,2021-07-07,318624400.7362951
1625529600,33300.0,35100.0,33697.78,34225.73,10313.01368118,2021-07-06,352970421.7383728
1625443200,33156.86,35290.82,35284.06,33697.78,9607.60619891,2021-07-05,323755000.0175054
1625356800,34390.53,35951.0,34685.03,35284.05,6224.03057033,2021-07-04,219609005.84505224
1625270400,33320.0,34953.07,33805.01,34682.16,6197.80112922,2021-07-03,214953130.41178873
1625184000,32704.73,33972.06,33510.93,33805.02,11765.65389836,2021-07-02,397738165.34713775
1625097600,32703.48,35066.54,35060.0,33516.11,13210.9509733,2021-07-01,442779686.02572984
1625011200,34033.0,36094.42,35906.17,35060.0,16700.72309396,2021-06-30,585527351.6742376
1624924800,34233.35,36675.0,34493.22,35904.28,17917.59826258,2021-06-29,643318464.9471858
1624838400,33864.99,35301.43,34708.53,34493.22,14920.2647883,2021-06-28,514647975.80108535
1624752000,32002.21,34749.0,32267.59,34709.23,14428.92978925,2021-06-27,500817042.70892984
1624665600,30173.49,32711.68,31594.62,32275.19,18299.38702942,2021-06-26,590616193.258066
1624579200,31300.0,35500.0,34654.87,31594.63,26505.19266978,2021-06-25,837421755.4804113
1624492800,32300.0,35295.67,33688.51,34654.58,16868.94084747,2021-06-24,584586060.1139169
1624406400,31708.03,34881.02,32538.9,33688.35,23124.81248294,2021-06-23,779036776.6096517
1624320000,28800.0,33352.0,31609.82,32538.37,48409.17333487,2021-06-22,1575155593.3641338
1624233600,31259.0,35741.54,35585.79,31609.82,41304.39903519,2021-06-21,1305624618.7105296
1624147200,33347.05,36139.73,35484.8,35585.78,19400.07454207,2021-06-20,690366784.6377038
1624060800,34833.26,36457.18,35840.96,35484.79,16801.08670642,2021-06-19,596183033.5491053
1623974400,35153.16,38216.22,38103.94,35841.81,23472.37724375,2021-06-18,841292485.4188112
1623888000,37365.63,39554.98,38351.0,38095.17,15970.35031651,2021-06-17,608393210.2670022
1623801600,38105.0,40499.0,40158.06,38351.0,17238.57541183,2021-06-16,661116605.6190923
1623715200,39510.98,41322.55,40537.93,40162.37,17020.70299457,2021-06-15,683591771.3280284
1623628800,38744.83,41076.03,39015.24,40539.47,21916.84415956,2021-06-14,888497246.301158
1623542400,34780.57,39396.0,35557.32,39015.24,15748.96203951,2021-06-13,614449533.722372
1623456000,34635.47,37448.0,37340.08,35557.33,14516.54556279,2021-06-12,516169601.03615975
1623369600,35944.0,37695.0,36694.91,37338.44,14142.19349961,2021-06-11,528047443.45357805
1623283200,35800.0,38425.67,37404.75,36694.05,19853.81418911,2021-06-10,728516850.5459118
1623196800,32408.53,37573.99,33402.13,37403.86,26040.89793254,2021-06-09,974030100.5430156
1623110400,31004.95,34069.0,33567.26,33402.13,34937.55754915,2021-06-08,1166988839.1391895
1623024000,33333.0,36812.39,35800.48,33575.91,18997.71626987,2021-06-07,637865611.682691
1622937600,35258.0,36477.86,35539.97,35800.48,8184.50324318,2021-06-06,293009144.6674008
1622851200,34832.17,37921.35,36856.53,35539.49,13654.69033381,2021-06-05,485280730.57153714
1622764800,35593.22,39291.24,39248.54,36856.52,17917.63251152,2021-06-04,660381581.0134871
1622678400,37184.88,39489.82,37581.83,39248.55,14325.7560692,2021-06-03,562265153.3697997
1622592000,35920.0,38237.37,36684.99,37577.91,13952.35891376,2021-06-02,524300487.54897106
1622505600,35669.14,37918.97,37276.23,36685.0,15713.10281689,2021-06-01,576435176.8376096
1622419200,34183.0,37534.09,35669.44,37279.31,19527.11600162,2021-05-31,727957410.8303524
1622332800,33333.0,36500.0,34627.81,35669.44,16038.94658082,2021-05-30,572100242.7277641
1622246400,33650.86,37325.0,35680.48,34627.82,27999.15073256,2021-05-29,969549551.7199558
1622160000,34688.0,38900.0,38556.88,35680.47,36231.72333985,2021-05-28,1292764917.675818
1622073600,37191.99,40440.95,39293.23,38556.88,19390.89447264,2021-05-27,747652391.2742437
1621987200,37837.36,40900.0,38361.81,39293.23,25107.68631485,2021-05-26,986562093.1372536
1621900800,36481.26,39878.51,38874.53,38361.81,26107.55687287,2021-05-25,1001533136.3212329
1621814400,34407.17,39966.87,34758.88,38878.56,44419.45827713,2021-05-24,1726964573.7948952
1621728000,31111.0,38319.36,37476.84,34758.67,53433.30296532,2021-05-23,1857270544.7815793
1621641600,35257.52,38889.76,37333.09,37476.83,29239.02738254,2021-05-22,1095786058.5807965
1621555200,33501.54,42275.99,40623.24,37340.77,55961.90006046,2021-05-21,2089660438.9206228
1621468800,35000.0,42605.0,36735.44,40623.33,51445.79735691,2021-05-20,2089899603.1428828
1621382400,30000.0,43591.7,42865.05,36731.75,109537.24233282,2021-05-19,4023494601.058561
1621296000,42300.0,45851.0,43571.89,42857.15,28210.30024018,2021-05-18,1209013068.9384303
1621209600,42101.0,46646.15,46450.78,43580.5,43660.22208427,2021-05-17,1902734308.5435286
1621123200,43825.0,49808.28,46771.01,46450.79,30655.33064729,2021-05-16,1423964326.2778318
1621036800,46573.0,50730.58,49893.48,46775.51,21936.11454712,2021-05-15,1026072945.3599571
1620950400,48895.0,51569.56,49682.28,49893.48,21987.79362448,2021-05-14,1097047541.4471204
1620864000,46000.0,52500.0,49498.76,49690.11,42250.08740789,2021-05-13,2099411490.8076692
1620777600,48500.0,58041.0,56753.19,49498.77,29660.84273553,2021-05-12,1468175232.5721703
1620691200,54511.48,56962.07,55866.38,56753.19,15446.63591676,2021-05-11,876645863.0447046
1620604800,53600.0,59592.2,58313.84,55866.41,24647.23540718,2021-05-10,1376952558.624035
1620518400,56265.3,59300.52,58958.06,58312.57,17169.72318523,2021-05-09,1001210685.1193473
1620432000,56980.01,59559.84,57380.39,58958.05,15374.94442964,2021-05-08,906476742.4299366
1620345600,55300.0,58735.95,56444.82,57380.39,18323.8958022,2021-05-07,1051432287.4495989
1620259200,55288.0,58400.0,57515.69,56440.66,18244.13605211,2021-05-06,1029711079.9108828
1620172800,52913.02,57980.86,53241.91,57515.69,22918.90458572,2021-05-05,1318196611.29185
1620086400,53057.7,57247.24,57212.73,53241.92,23492.0586849,2021-05-04,1250762309.136751
1620000000,56500.0,58986.0,56625.21,57212.73,15165.00648795,2021-05-03,867631421.6433316
1619913600,56072.0,57972.26,57859.28,56625.2,7647.62578087,2021-05-02,433048339.36691993
1619827200,57050.94,58550.0,57798.77,57859.28,10787.04933216,2021-05-01,624130907.6832584
1619740800,53068.43,58075.01,53580.0,57798.77,16536.33288912,2021-04-30,955779701.3016824
1619654400,52369.61,55226.86,54889.81,53580.0,14592.31688772,2021-04-29,781856338.8440377
